run_key,outdir_tag,ycol,status
base,sensA_base_no_ventcov_modelB_n10000_b200,rSO2_Ch1,missing_result_dir
base,sensA_base_no_ventcov_modelB_n10000_b200,rSO2_Ch2,missing_result_dir
base,sensA_base_no_ventcov_modelB_n10000_b200,rSO2_Ch3,missing_result_dir
rrtotal_only,sensB_rrtotal_only_modelB_n10000_b200,rSO2_Ch1,missing_result_dir
rrtotal_only,sensB_rrtotal_only_modelB_n10000_b200,rSO2_Ch2,missing_result_dir
rrtotal_only,sensB_rrtotal_only_modelB_n10000_b200,rSO2_Ch3,missing_result_dir
tvinsp_only,sensB_tvinsp_only_modelB_n10000_b200,rSO2_Ch1,missing_result_dir
tvinsp_only,sensB_tvinsp_only_modelB_n10000_b200,rSO2_Ch2,missing_result_dir
tvinsp_only,sensB_tvinsp_only_modelB_n10000_b200,rSO2_Ch3,missing_result_dir
pmean_only,sensB_pmean_only_modelB_n10000_b200,rSO2_Ch1,missing_result_dir
pmean_only,sensB_pmean_only_modelB_n10000_b200,rSO2_Ch2,missing_result_dir
pmean_only,sensB_pmean_only_modelB_n10000_b200,rSO2_Ch3,missing_result_dir
all_three,sensB_all_three_modelB_n10000_b200,rSO2_Ch1,missing_result_dir
all_three,sensB_all_three_modelB_n10000_b200,rSO2_Ch2,missing_result_dir
all_three,sensB_all_three_modelB_n10000_b200,rSO2_Ch3,missing_result_dir
