subgroup,channel,status,delta_rso2_plus5,delta_ci_lo,delta_ci_hi,x_from_median,x_to_plus5,direction,overall_delta_rso2_plus5,overall_direction,same_direction_vs_overall
Age_less_70,rSO2_Ch1,ok,2.8875288953922222,2.5550688428041894,3.1767399745630627,35.0,40.0,positive,2.8862808801902986,positive,True
Age_less_70,rSO2_Ch2,ok,3.0990779491336014,2.770531995119427,3.4735862371268666,35.0,40.0,positive,2.860283907192482,positive,True
Age_less_70,rSO2_Ch3,ok,1.464179411426315,0.699283113407688,2.31455734516517,35.0,40.0,positive,0.8809193836534206,positive,True
Age_more_70,rSO2_Ch1,ok,3.2786763314156673,2.4232126635990596,3.94069688919474,35.0,40.0,positive,2.8862808801902986,positive,True
Age_more_70,rSO2_Ch2,ok,2.3890724660829363,2.170166462503005,2.633098754994137,35.0,40.0,positive,2.860283907192482,positive,True
Age_more_70,rSO2_Ch3,ok,0.662640135530367,-0.04654948881075427,1.4913399314609848,35.0,40.0,positive,0.8809193836534206,positive,True
Female,rSO2_Ch1,ok,3.3755549478604365,2.2981746851936578,4.3499138433455755,35.0,40.0,positive,2.8862808801902986,positive,True
Female,rSO2_Ch2,ok,3.0845630727809663,2.145008213694453,3.8941116602237145,35.0,40.0,positive,2.860283907192482,positive,True
Female,rSO2_Ch3,ok,-0.13258788825983459,-1.1240881938080491,1.0053769200410017,35.0,40.0,negative,0.8809193836534206,positive,False
Male,rSO2_Ch1,ok,2.699510890070485,2.2962292305948466,3.0883658742421005,35.0,40.0,positive,2.8862808801902986,positive,True
Male,rSO2_Ch2,ok,3.0568498985497,2.432378070703649,3.8444519372875305,35.0,40.0,positive,2.860283907192482,positive,True
Male,rSO2_Ch3,ok,1.0474953076999896,0.6057922136749028,1.4574922238758319,35.0,40.0,positive,0.8809193836534206,positive,True
Pre_hypertension_less_140_90,rSO2_Ch1,ok,2.895015574801633,2.2035521262623945,3.552358788394457,35.0,40.0,positive,2.8862808801902986,positive,True
Pre_hypertension_less_140_90,rSO2_Ch2,ok,2.935146841946377,2.4115276186969226,3.3987043455655197,35.0,40.0,positive,2.860283907192482,positive,True
Pre_hypertension_less_140_90,rSO2_Ch3,ok,1.1842679468044537,0.3020359690878678,2.0317842443263316,35.0,40.0,positive,0.8809193836534206,positive,True
Pre_hypertension_more_140_90,rSO2_Ch1,ok,2.565486172395751,1.7213337645409723,3.372061319460414,35.0,40.0,positive,2.8862808801902986,positive,True
Pre_hypertension_more_140_90,rSO2_Ch2,ok,3.446608935724825,2.6455768325348714,4.223961739693692,35.0,40.0,positive,2.860283907192482,positive,True
Pre_hypertension_more_140_90,rSO2_Ch3,ok,0.844089471394895,-0.08844992255832551,1.7776966337989961,35.0,40.0,positive,0.8809193836534206,positive,True
