Outcome channel,"EtCO2 range, mmHg","Observed curve x min, mmHg","Observed curve x max, mmHg","Curve points, n","Mean local slope, percentage points per mmHg"
Left SctO2,20-25,21.16,24.91,25,0.3729
Left SctO2,25-30,25.07,29.92,32,0.4389
Left SctO2,30-35,30.07,34.92,32,0.56
Left SctO2,35-40,35.08,39.93,32,0.5798
Left SctO2,40-45,40.08,44.93,32,0.3488
Left SctO2,45-50,45.09,49.0,26,0.1325
Right SctO2,20-25,21.16,24.91,25,0.1928
Right SctO2,25-30,25.07,29.92,32,0.4002
Right SctO2,30-35,30.07,34.92,32,0.5318
Right SctO2,35-40,35.08,39.93,32,0.5967
Right SctO2,40-45,40.08,44.93,32,0.3955
Right SctO2,45-50,45.09,49.0,26,0.2613
SftO2,20-25,21.16,24.91,25,0.2912
SftO2,25-30,25.07,29.92,32,0.2765
SftO2,30-35,30.07,34.92,32,0.2358
SftO2,35-40,35.08,39.93,32,0.1848
SftO2,40-45,40.08,44.93,32,0.1347
SftO2,45-50,45.09,49.0,26,0.108
