Characteristic,Left SctO2,Right SctO2,SftO2
"Patients, n",1792,1792,1789
"Timestamp-level observations, n","20,021,703","20,075,597","20,068,759"
"Age, years, mean (s.d.)",68.7 (5.3),68.7 (5.3),68.7 (5.3)
"Body mass index, kg/m2, mean (s.d.)",25.3 (3.2),25.3 (3.2),25.3 (3.2)
"Male, n (%)",1255 (70.0%),1255 (70.0%),1254 (70.1%)
"Diabetes, n (%)",770 (43.0%),770 (43.0%),768 (42.9%)
"Hypertension, n (%)",1316 (73.4%),1316 (73.4%),1313 (73.4%)
"Drinking history, n (%)",458 (25.6%),458 (25.6%),458 (25.6%)
"Haemoglobin, g/L, mean (s.d.)",132.1 (15.5),132.1 (15.5),132.1 (15.5)
"Baseline cardiac index, L/min/m2, mean (s.d.)",2.5 (0.8),2.5 (0.8),2.5 (0.8)
"Baseline mean blood pressure, mmHg, mean (s.d.)",90.0 (12.4),90.0 (12.4),89.9 (12.4)
"EtCO2, mmHg, mean (s.d.)",30.1 (4.1),30.1 (4.1),30.1 (4.1)
"FiO2, %, mean (s.d.)",65.4 (14.1),65.4 (14.1),65.4 (14.1)
"Temperature, C, mean (s.d.)",35.5 (0.6),35.5 (0.6),35.5 (0.6)
"Intraoperative MAP, mmHg, mean (s.d.)",75.9 (15.0),75.9 (15.0),75.9 (15.0)
"Intraoperative cardiac index, L/min/m2, mean (s.d.)",2.6 (0.9),2.6 (0.8),2.6 (0.9)
"Left SctO2, %, mean (s.d.)",71.1 (6.0),,
"Right SctO2, %, mean (s.d.)",,71.5 (5.7),
"SftO2, %, mean (s.d.)",,,75.5 (5.9)
