subgroup,ycol,xvar,segment,x_start,x_end,pred_start,pred_end,clinical_step,clinical_step_label,signed_effect,window_lo,window_hi,window_source
All,rSO2_Ch1,ET_CO2,1,24.0,24.65,68.2619389668051,68.525704009964,5.0,CO2 +5 mmHg,2.0289618704530663,24.0,37.0,model_input_q05_q95
All,rSO2_Ch1,ET_CO2,2,24.65,25.3,68.525704009964,68.79276723749929,5.0,CO2 +5 mmHg,2.0543325195022137,24.0,37.0,model_input_q05_q95
All,rSO2_Ch1,ET_CO2,3,25.3,25.95,68.79276723749929,69.06214580638809,5.0,CO2 +5 mmHg,2.072142837606136,24.0,37.0,model_input_q05_q95
All,rSO2_Ch1,ET_CO2,4,25.95,26.6,69.06214580638809,69.3350161268853,5.0,CO2 +5 mmHg,2.099002465363108,24.0,37.0,model_input_q05_q95
All,rSO2_Ch1,ET_CO2,5,26.6,27.25,69.3350161268853,69.61268061553618,5.0,CO2 +5 mmHg,2.1358806819298874,24.0,37.0,model_input_q05_q95
All,rSO2_Ch1,ET_CO2,6,27.25,27.9,69.61268061553618,69.89648906238675,5.0,CO2 +5 mmHg,2.183141898850553,24.0,37.0,model_input_q05_q95
All,rSO2_Ch1,ET_CO2,7,27.9,28.55,69.89648906238675,70.18773501094677,5.0,CO2 +5 mmHg,2.24035345046167,24.0,37.0,model_input_q05_q95
All,rSO2_Ch1,ET_CO2,8,28.55,29.2,70.18773501094677,70.48769936484156,5.0,CO2 +5 mmHg,2.307418106883033,24.0,37.0,model_input_q05_q95
All,rSO2_Ch1,ET_CO2,9,29.2,29.85,70.48769936484156,70.79752236555754,5.0,CO2 +5 mmHg,2.383253851661376,24.0,37.0,model_input_q05_q95
All,rSO2_Ch1,ET_CO2,10,29.85,30.5,70.79752236555754,71.11811564174518,5.0,CO2 +5 mmHg,2.466102124520289,24.0,37.0,model_input_q05_q95
All,rSO2_Ch1,ET_CO2,11,30.5,31.15,71.11811564174518,71.45036855528893,5.0,CO2 +5 mmHg,2.555791642644274,24.0,37.0,model_input_q05_q95
All,rSO2_Ch1,ET_CO2,12,31.15,31.8,71.45036855528893,71.79520386714805,5.0,CO2 +5 mmHg,2.652579321993178,24.0,37.0,model_input_q05_q95
