ycol,stage,n_rows,n_patients
rSO2_Ch1,raw_timeseries_rows,25385328,1872
rSO2_Ch1,after_required_etco2_y_nonmissing,20657553,1792
rSO2_Ch1,after_cohort_clip_to_missing_and_dropna,20115169,1792
rSO2_Ch1,final_usable_points_strict_etco2_rso2,20021703,1792
rSO2_Ch1,after_intraop_covars_clip_to_missing,20021703,1792
rSO2_Ch1,after_intraop_covars_fill,20021703,1792
rSO2_Ch2,raw_timeseries_rows,25385328,1872
rSO2_Ch2,after_required_etco2_y_nonmissing,20718216,1793
rSO2_Ch2,after_cohort_clip_to_missing_and_dropna,20169291,1792
rSO2_Ch2,final_usable_points_strict_etco2_rso2,20075597,1792
rSO2_Ch2,after_intraop_covars_clip_to_missing,20075597,1792
rSO2_Ch2,after_intraop_covars_fill,20075597,1792
rSO2_Ch3,raw_timeseries_rows,25385328,1872
rSO2_Ch3,after_required_etco2_y_nonmissing,20712816,1789
rSO2_Ch3,after_cohort_clip_to_missing_and_dropna,20167307,1789
rSO2_Ch3,final_usable_points_strict_etco2_rso2,20068759,1789
rSO2_Ch3,after_intraop_covars_clip_to_missing,20068759,1789
rSO2_Ch3,after_intraop_covars_fill,20068759,1789
