table,characteristic,Left SctO2,Right SctO2,SftO2,Missing Left SctO2,Missing Right SctO2,Missing SftO2
Table 1 baseline/static,"Age, mean (SD)",68.7 (5.3),68.7 (5.3),68.7 (5.3),0.0,0.0,0.0
Table 1 baseline/static,"Age, median (IQR)",68.0 (65.0-72.0),68.0 (65.0-72.0),68.0 (65.0-72.0),0.0,0.0,0.0
Table 1 baseline/static,"BMI, mean (SD)",25.3 (3.2),25.3 (3.2),25.3 (3.2),0.0,0.0,0.0
Table 1 baseline/static,"BMI, median (IQR)",25.0 (23.1-27.1),25.0 (23.1-27.1),25.0 (23.1-27.1),0.0,0.0,0.0
Table 1 baseline/static,"Cardiac_index, mean (SD)",2.5 (0.8),2.5 (0.8),2.5 (0.8),0.0,0.0,0.0
Table 1 baseline/static,"Cardiac_index, median (IQR)",2.4 (2.0-2.9),2.4 (2.0-2.9),2.4 (2.0-2.9),0.0,0.0,0.0
Table 1 baseline/static,"Carotid_artery_disease=0.0, n (%)",1347 (75.2%),1347 (75.2%),1344 (75.1%),0.0,0.0,0.0
Table 1 baseline/static,"Carotid_artery_disease=1.0, n (%)",108 (6.0%),108 (6.0%),108 (6.0%),0.0,0.0,0.0
Table 1 baseline/static,"Carotid_artery_disease=2.0, n (%)",176 (9.8%),176 (9.8%),176 (9.8%),0.0,0.0,0.0
Table 1 baseline/static,"Carotid_artery_disease=3.0, n (%)",161 (9.0%),161 (9.0%),161 (9.0%),0.0,0.0,0.0
Table 1 baseline/static,"Diabetes_status, n (%)",770 (43.0%),770 (43.0%),768 (42.9%),0.0,0.0,0.0
Table 1 baseline/static,"Drinking_status, n (%)",458 (25.6%),458 (25.6%),458 (25.6%),0.0,0.0,0.0
Table 1 baseline/static,"Hb, mean (SD)",132.1 (15.5),132.1 (15.5),132.1 (15.5),0.0,0.0,0.0
Table 1 baseline/static,"Hb, median (IQR)",133.0 (122.0-142.0),133.0 (122.0-142.0),133.0 (122.0-142.0),0.0,0.0,0.0
Table 1 baseline/static,"Hypertension, n (%)",1316 (73.4%),1316 (73.4%),1313 (73.4%),0.0,0.0,0.0
Table 1 baseline/static,"Hypertension_140_90, n (%)",407 (22.7%),407 (22.7%),406 (22.7%),0.0,0.0,0.0
Table 1 baseline/static,"Left_SctO2, mean (SD)",72.4 (4.0),72.4 (4.0),72.4 (4.0),0.0,0.0,0.0
Table 1 baseline/static,"Left_SctO2, median (IQR)",72.7 (70.0-75.0),72.7 (70.0-75.0),72.7 (70.0-75.0),0.0,0.0,0.0
Table 1 baseline/static,"Mean_blood_pressure, mean (SD)",90.0 (12.4),90.0 (12.4),89.9 (12.4),0.0,0.0,0.0
Table 1 baseline/static,"Mean_blood_pressure, median (IQR)",89.0 (81.3-98.0),89.0 (81.3-98.0),89.0 (81.3-98.0),0.0,0.0,0.0
Table 1 baseline/static,"Patients, n",1792,1792,1789,0.0,0.0,0.0
Table 1 baseline/static,"Right_SctO2, mean (SD)",70.8 (4.4),70.8 (4.4),70.8 (4.4),0.0,0.0,0.0
Table 1 baseline/static,"Right_SctO2, median (IQR)",71.0 (68.0-74.0),71.0 (68.0-74.0),71.0 (68.0-74.0),0.0,0.0,0.0
Table 1 baseline/static,"SEX, n (%)",1255 (70.0%),1255 (70.0%),1254 (70.1%),0.0,0.0,0.0
Table 1 baseline/static,"Smoking_new=0.0, n (%)",758 (42.3%),758 (42.3%),757 (42.3%),0.0,0.0,0.0
Table 1 baseline/static,"Smoking_new=1.0, n (%)",675 (37.7%),675 (37.7%),674 (37.7%),0.0,0.0,0.0
Table 1 baseline/static,"Smoking_new=2.0, n (%)",359 (20.0%),359 (20.0%),358 (20.0%),0.0,0.0,0.0
Table 1 baseline/static,"SstO2, mean (SD)",74.2 (4.7),74.2 (4.7),74.2 (4.7),0.0,0.0,0.0
Table 1 baseline/static,"SstO2, median (IQR)",74.7 (71.3-77.3),74.7 (71.3-77.3),74.7 (71.3-77.3),0.0,0.0,0.0
Table 1 baseline/static,"Statin_1, n (%)",1750 (97.7%),1750 (97.7%),1747 (97.7%),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"CI, mean (SD)",2.6 (0.9),2.6 (0.8),2.6 (0.9),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"CI, median (IQR)",2.5 (2.0-3.0),2.5 (2.0-3.0),2.5 (2.0-3.0),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"ET_CO2, mean (SD)",30.1 (4.1),30.1 (4.1),30.1 (4.1),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"ET_CO2, median (IQR)",30.0 (28.0-32.0),30.0 (28.0-32.0),30.0 (28.0-32.0),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"FiO2_new, mean (SD)",65.4 (14.1),65.4 (14.1),65.4 (14.1),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"FiO2_new, median (IQR)",62.0 (57.0-70.0),62.0 (57.0-70.0),62.0 (57.0-70.0),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"HR, mean (SD)",62.7 (11.9),62.7 (11.9),62.7 (11.9),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"HR, median (IQR)",61.2 (54.5-69.8),61.2 (54.5-69.8),61.2 (54.5-69.8),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"MAP, mean (SD)",75.9 (15.0),75.9 (15.0),75.9 (15.0),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"MAP, median (IQR)",75.0 (66.0-85.0),75.0 (66.0-85.0),75.0 (66.0-85.0),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"Patients, n",20021703,20075597,20068759,0.0,0.0,0.0
Table 2 intraoperative/timestamp,"Pmean, mean (SD)",6.0 (1.6),6.0 (1.6),6.0 (1.6),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"Pmean, median (IQR)",6.0 (5.0-7.0),6.0 (5.0-7.0),6.0 (5.0-7.0),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"RRtotal, mean (SD)",12.9 (2.0),12.9 (2.0),12.9 (2.0),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"RRtotal, median (IQR)",13.0 (12.0-14.0),13.0 (12.0-14.0),13.0 (12.0-14.0),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"SV, mean (SD)",74.4 (22.7),74.4 (22.7),74.5 (22.8),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"SV, median (IQR)",72.0 (58.3-87.7),72.0 (58.3-87.6),72.0 (58.2-87.7),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"TEMP, mean (SD)",35.5 (0.6),35.5 (0.6),35.5 (0.6),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"TEMP, median (IQR)",35.5 (35.1-35.9),35.5 (35.1-35.9),35.5 (35.1-35.9),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"TVinsp, mean (SD)",412.4 (65.2),412.4 (65.1),412.3 (65.2),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"TVinsp, median (IQR)",409.0 (379.0-450.0),409.0 (379.0-450.0),409.0 (379.0-450.0),0.0,0.0,0.0
Table 2 intraoperative/timestamp,"rSO2_Ch1, mean (SD)",71.1 (6.0),,,0.0,,
Table 2 intraoperative/timestamp,"rSO2_Ch1, median (IQR)",71.0 (67.0-75.0),,,0.0,,
Table 2 intraoperative/timestamp,"rSO2_Ch2, mean (SD)",,71.5 (5.7),,,0.0,
Table 2 intraoperative/timestamp,"rSO2_Ch2, median (IQR)",,72.0 (68.0-75.0),,,0.0,
Table 2 intraoperative/timestamp,"rSO2_Ch3, mean (SD)",,,75.5 (5.9),,,0.0
Table 2 intraoperative/timestamp,"rSO2_Ch3, median (IQR)",,,76.0 (72.0-79.0),,,0.0
