ycol,xvar,n,min,q05,median,q95,max
rSO2_Ch1,ET_CO2,10000,21,24,30,37,49
rSO2_Ch1,FiO2_new,10000,30,46,62,95,100
rSO2_Ch1,TEMP,10000,34,34.38,35.52,36.52,37.49
rSO2_Ch1,MAP,10000,26,54,75,102,160
rSO2_Ch1,CI,10000,0.513,1.4,2.43,4.11,7.98
rSO2_Ch2,ET_CO2,10000,21,24,30,37,49
rSO2_Ch2,FiO2_new,10000,30,46,62,95,100
rSO2_Ch2,TEMP,10000,34,34.39,35.52,36.5105,37.44
rSO2_Ch2,MAP,10000,22,54,75,101,160
rSO2_Ch2,CI,10000,0.506,1.41,2.45,4.06,8
rSO2_Ch3,ET_CO2,10000,21,24,30,37,49
rSO2_Ch3,FiO2_new,10000,32,46,62,95,100
rSO2_Ch3,TEMP,10000,34,34.39,35.52,36.52,37.48
rSO2_Ch3,MAP,10000,20,54,75,101,160
rSO2_Ch3,CI,10000,0.501,1.43,2.47,4.07,7.98
