column,clip_lo,clip_hi,nonmissing_before,newly_clipped_to_missing,remaining_nonmissing,ycol,sec,subgroup,subgroup_query
ET_CO2,20.0,50.0,20657553,517374,20140179,rSO2_Ch1,1,All,
rSO2_Ch1,25.0,95.0,20657553,26332,20631221,rSO2_Ch1,1,All,
TEMP,34.0,37.5,16879436,385818,16493618,rSO2_Ch1,1,All,
FiO2_new,30.0,100.0,18027724,489180,17538544,rSO2_Ch1,1,All,
MAP,20.0,160.0,17501019,7384,17493635,rSO2_Ch1,1,All,
SV,20.0,180.0,17501019,36834,17464185,rSO2_Ch1,1,All,
HR,35.0,160.0,17501019,48071,17452948,rSO2_Ch1,1,All,
RRtotal,4.0,35.0,4195707,7682,4188025,rSO2_Ch1,1,All,
TVinsp,150.0,1000.0,4181680,28802,4152878,rSO2_Ch1,1,All,
Pmean,0.0,20.0,4170098,363,4169735,rSO2_Ch1,1,All,
CI,0.5,8.0,17501019,23195,17477824,rSO2_Ch1,1,All,
ET_CO2,20.0,50.0,20718216,517799,20200417,rSO2_Ch2,1,All,
rSO2_Ch2,25.0,95.0,20718216,32298,20685918,rSO2_Ch2,1,All,
TEMP,34.0,37.5,16929707,387053,16542654,rSO2_Ch2,1,All,
FiO2_new,30.0,100.0,18088075,490529,17597546,rSO2_Ch2,1,All,
MAP,20.0,160.0,17537261,7422,17529839,rSO2_Ch2,1,All,
SV,20.0,180.0,17537261,35741,17501520,rSO2_Ch2,1,All,
HR,35.0,160.0,17537261,48333,17488928,rSO2_Ch2,1,All,
RRtotal,4.0,35.0,4199677,7801,4191876,rSO2_Ch2,1,All,
TVinsp,150.0,1000.0,4185435,28982,4156453,rSO2_Ch2,1,All,
Pmean,0.0,20.0,4173903,371,4173532,rSO2_Ch2,1,All,
CI,0.5,8.0,17537261,23045,17514216,rSO2_Ch2,1,All,
ET_CO2,20.0,50.0,20712816,518509,20194307,rSO2_Ch3,1,All,
rSO2_Ch3,25.0,95.0,20712816,27933,20684883,rSO2_Ch3,1,All,
TEMP,34.0,37.5,16887811,388561,16499250,rSO2_Ch3,1,All,
FiO2_new,30.0,100.0,18080383,487597,17592786,rSO2_Ch3,1,All,
MAP,20.0,160.0,17530628,7264,17523364,rSO2_Ch3,1,All,
SV,20.0,180.0,17530628,27489,17503139,rSO2_Ch3,1,All,
HR,35.0,160.0,17530628,48704,17481924,rSO2_Ch3,1,All,
RRtotal,4.0,35.0,4200768,7765,4193003,rSO2_Ch3,1,All,
TVinsp,150.0,1000.0,4186916,29133,4157783,rSO2_Ch3,1,All,
Pmean,0.0,20.0,4175093,376,4174717,rSO2_Ch3,1,All,
CI,0.5,8.0,17530628,22865,17507763,rSO2_Ch3,1,All,
