column,filled_by_forward_fill,filled_by_subject_median,filled_by_global_median,remaining_missing,global_median,ycol,sec,subgroup,subgroup_query
TEMP,884385,1714795,928905,0,35.52,rSO2_Ch1,1,All,
FiO2_new,2404923,15129,63107,0,62.0,rSO2_Ch1,1,All,
MAP,2488845,20443,18780,0,75.0,rSO2_Ch1,1,All,
SV,2506087,20645,30786,0,72.0,rSO2_Ch1,1,All,
CI,2505149,19950,18780,0,2.45,rSO2_Ch1,1,All,
HR,2531097,18878,18780,0,61.2,rSO2_Ch1,1,All,
RRtotal,15350795,11052,471831,0,13.0,rSO2_Ch1,1,All,
TVinsp,15388109,8885,471831,0,409.0,rSO2_Ch1,1,All,
Pmean,15363865,16272,471831,0,6.0,rSO2_Ch1,1,All,
TEMP,898555,1719718,914670,0,35.52,rSO2_Ch2,1,All,
FiO2_new,2399397,15371,63283,0,62.0,rSO2_Ch2,1,All,
MAP,2506078,20953,18727,0,75.0,rSO2_Ch2,1,All,
SV,2523449,20964,29664,0,72.0,rSO2_Ch2,1,All,
CI,2522365,20289,18727,0,2.45,rSO2_Ch2,1,All,
HR,2548614,19328,18727,0,61.2,rSO2_Ch2,1,All,
RRtotal,15367867,11576,504278,0,13.0,rSO2_Ch2,1,All,
TVinsp,15405552,9314,504278,0,409.0,rSO2_Ch2,1,All,
Pmean,15381144,16643,504278,0,6.0,rSO2_Ch2,1,All,
TEMP,907516,1752583,909410,0,35.52,rSO2_Ch3,1,All,
FiO2_new,2397096,15364,63513,0,62.0,rSO2_Ch3,1,All,
MAP,2505265,21393,18737,0,75.0,rSO2_Ch3,1,All,
SV,2524647,22236,18737,0,72.0,rSO2_Ch3,1,All,
CI,2521172,21087,18737,0,2.45,rSO2_Ch3,1,All,
HR,2547901,20197,18737,0,61.2,rSO2_Ch3,1,All,
RRtotal,15364863,11273,499620,0,13.0,rSO2_Ch3,1,All,
TVinsp,15402358,8998,499620,0,409.0,rSO2_Ch3,1,All,
Pmean,15378317,16105,499620,0,6.0,rSO2_Ch3,1,All,
