sec,subgroup,subgroup_query,ycol,stage,n_rows,n_patients
1,ALL,,ALL,sec_input_before_any_filter,25385328,1872
1,Age_less_70,Age <= 70,ALL,after_subgroup_filter,16725405,1215
1,Age_less_70,Age <= 70,rSO2_Ch1,raw_timeseries_rows,16725405,1215
1,Age_less_70,Age <= 70,rSO2_Ch1,after_required_etco2_y_nonmissing,13632610,1164
1,Age_less_70,Age <= 70,rSO2_Ch1,after_cohort_clip_to_missing_and_dropna,13310555,1164
1,Age_less_70,Age <= 70,rSO2_Ch1,final_usable_points_strict_etco2_rso2,13264150,1164
1,Age_less_70,Age <= 70,rSO2_Ch1,after_intraop_covars_clip_to_missing,13264150,1164
1,Age_less_70,Age <= 70,rSO2_Ch1,after_intraop_covars_fill,13264150,1164
1,Age_less_70,Age <= 70,rSO2_Ch2,raw_timeseries_rows,16725405,1215
1,Age_less_70,Age <= 70,rSO2_Ch2,after_required_etco2_y_nonmissing,13670357,1164
1,Age_less_70,Age <= 70,rSO2_Ch2,after_cohort_clip_to_missing_and_dropna,13346625,1164
1,Age_less_70,Age <= 70,rSO2_Ch2,final_usable_points_strict_etco2_rso2,13299857,1164
1,Age_less_70,Age <= 70,rSO2_Ch2,after_intraop_covars_clip_to_missing,13299857,1164
1,Age_less_70,Age <= 70,rSO2_Ch2,after_intraop_covars_fill,13299857,1164
1,Age_less_70,Age <= 70,rSO2_Ch3,raw_timeseries_rows,16725405,1215
1,Age_less_70,Age <= 70,rSO2_Ch3,after_required_etco2_y_nonmissing,13667441,1162
1,Age_less_70,Age <= 70,rSO2_Ch3,after_cohort_clip_to_missing_and_dropna,13336331,1162
1,Age_less_70,Age <= 70,rSO2_Ch3,final_usable_points_strict_etco2_rso2,13285475,1162
1,Age_less_70,Age <= 70,rSO2_Ch3,after_intraop_covars_clip_to_missing,13285475,1162
1,Age_less_70,Age <= 70,rSO2_Ch3,after_intraop_covars_fill,13285475,1162
1,Age_more_70,Age > 70,ALL,after_subgroup_filter,8659923,657
1,Age_more_70,Age > 70,rSO2_Ch1,raw_timeseries_rows,8659923,657
1,Age_more_70,Age > 70,rSO2_Ch1,after_required_etco2_y_nonmissing,7024943,628
1,Age_more_70,Age > 70,rSO2_Ch1,after_cohort_clip_to_missing_and_dropna,6804614,628
1,Age_more_70,Age > 70,rSO2_Ch1,final_usable_points_strict_etco2_rso2,6757553,628
1,Age_more_70,Age > 70,rSO2_Ch1,after_intraop_covars_clip_to_missing,6757553,628
1,Age_more_70,Age > 70,rSO2_Ch1,after_intraop_covars_fill,6757553,628
1,Age_more_70,Age > 70,rSO2_Ch2,raw_timeseries_rows,8659923,657
1,Age_more_70,Age > 70,rSO2_Ch2,after_required_etco2_y_nonmissing,7047859,629
1,Age_more_70,Age > 70,rSO2_Ch2,after_cohort_clip_to_missing_and_dropna,6822666,628
1,Age_more_70,Age > 70,rSO2_Ch2,final_usable_points_strict_etco2_rso2,6775740,628
1,Age_more_70,Age > 70,rSO2_Ch2,after_intraop_covars_clip_to_missing,6775740,628
1,Age_more_70,Age > 70,rSO2_Ch2,after_intraop_covars_fill,6775740,628
1,Age_more_70,Age > 70,rSO2_Ch3,raw_timeseries_rows,8659923,657
1,Age_more_70,Age > 70,rSO2_Ch3,after_required_etco2_y_nonmissing,7045375,627
1,Age_more_70,Age > 70,rSO2_Ch3,after_cohort_clip_to_missing_and_dropna,6830976,627
1,Age_more_70,Age > 70,rSO2_Ch3,final_usable_points_strict_etco2_rso2,6783284,627
1,Age_more_70,Age > 70,rSO2_Ch3,after_intraop_covars_clip_to_missing,6783284,627
1,Age_more_70,Age > 70,rSO2_Ch3,after_intraop_covars_fill,6783284,627
1,Male,Sex == 1,ALL,after_subgroup_filter,18216497,1314
1,Male,Sex == 1,rSO2_Ch1,raw_timeseries_rows,18216497,1314
1,Male,Sex == 1,rSO2_Ch1,after_required_etco2_y_nonmissing,14874730,1255
1,Male,Sex == 1,rSO2_Ch1,after_cohort_clip_to_missing_and_dropna,14511752,1255
1,Male,Sex == 1,rSO2_Ch1,final_usable_points_strict_etco2_rso2,14460614,1255
1,Male,Sex == 1,rSO2_Ch1,after_intraop_covars_clip_to_missing,14460614,1255
1,Male,Sex == 1,rSO2_Ch1,after_intraop_covars_fill,14460614,1255
1,Male,Sex == 1,rSO2_Ch2,raw_timeseries_rows,18216497,1314
1,Male,Sex == 1,rSO2_Ch2,after_required_etco2_y_nonmissing,14903704,1256
1,Male,Sex == 1,rSO2_Ch2,after_cohort_clip_to_missing_and_dropna,14528182,1255
1,Male,Sex == 1,rSO2_Ch2,final_usable_points_strict_etco2_rso2,14477373,1255
1,Male,Sex == 1,rSO2_Ch2,after_intraop_covars_clip_to_missing,14477373,1255
1,Male,Sex == 1,rSO2_Ch2,after_intraop_covars_fill,14477373,1255
1,Male,Sex == 1,rSO2_Ch3,raw_timeseries_rows,18216497,1314
1,Male,Sex == 1,rSO2_Ch3,after_required_etco2_y_nonmissing,14870217,1254
