column,clip_lo,clip_hi,nonmissing_before,newly_clipped_to_missing,remaining_nonmissing,ycol,sec,subgroup,subgroup_query
ET_CO2,20.0,50.0,13632610,308510,13324100,rSO2_Ch1,1,Age_less_70,Age <= 70
rSO2_Ch1,25.0,95.0,13632610,14437,13618173,rSO2_Ch1,1,Age_less_70,Age <= 70
TEMP,34.0,37.5,11172710,224592,10948118,rSO2_Ch1,1,Age_less_70,Age <= 70
FiO2_new,30.0,100.0,11967090,272479,11694611,rSO2_Ch1,1,Age_less_70,Age <= 70
MAP,20.0,160.0,11690276,5847,11684429,rSO2_Ch1,1,Age_less_70,Age <= 70
SV,20.0,180.0,11690276,18341,11671935,rSO2_Ch1,1,Age_less_70,Age <= 70
HR,35.0,160.0,11690276,33385,11656891,rSO2_Ch1,1,Age_less_70,Age <= 70
RRtotal,4.0,35.0,2784816,4933,2779883,rSO2_Ch1,1,Age_less_70,Age <= 70
TVinsp,150.0,1000.0,2774861,19229,2755632,rSO2_Ch1,1,Age_less_70,Age <= 70
Pmean,0.0,20.0,2767828,258,2767570,rSO2_Ch1,1,Age_less_70,Age <= 70
CI,0.5,8.0,11690276,15541,11674735,rSO2_Ch1,1,Age_less_70,Age <= 70
ET_CO2,20.0,50.0,13670357,310097,13360260,rSO2_Ch2,1,Age_less_70,Age <= 70
rSO2_Ch2,25.0,95.0,13670357,14495,13655862,rSO2_Ch2,1,Age_less_70,Age <= 70
TEMP,34.0,37.5,11207151,226370,10980781,rSO2_Ch2,1,Age_less_70,Age <= 70
FiO2_new,30.0,100.0,12008640,273873,11734767,rSO2_Ch2,1,Age_less_70,Age <= 70
MAP,20.0,160.0,11718916,5904,11713012,rSO2_Ch2,1,Age_less_70,Age <= 70
SV,20.0,180.0,11718916,17771,11701145,rSO2_Ch2,1,Age_less_70,Age <= 70
HR,35.0,160.0,11718916,33157,11685759,rSO2_Ch2,1,Age_less_70,Age <= 70
RRtotal,4.0,35.0,2787366,5004,2782362,rSO2_Ch2,1,Age_less_70,Age <= 70
TVinsp,150.0,1000.0,2777256,19346,2757910,rSO2_Ch2,1,Age_less_70,Age <= 70
Pmean,0.0,20.0,2770271,268,2770003,rSO2_Ch2,1,Age_less_70,Age <= 70
CI,0.5,8.0,11718916,15439,11703477,rSO2_Ch2,1,Age_less_70,Age <= 70
ET_CO2,20.0,50.0,13667441,309026,13358415,rSO2_Ch3,1,Age_less_70,Age <= 70
rSO2_Ch3,25.0,95.0,13667441,22615,13644826,rSO2_Ch3,1,Age_less_70,Age <= 70
TEMP,34.0,37.5,11173247,226520,10946727,rSO2_Ch3,1,Age_less_70,Age <= 70
FiO2_new,30.0,100.0,11993764,270212,11723552,rSO2_Ch3,1,Age_less_70,Age <= 70
MAP,20.0,160.0,11705295,5754,11699541,rSO2_Ch3,1,Age_less_70,Age <= 70
SV,20.0,180.0,11705295,18386,11686909,rSO2_Ch3,1,Age_less_70,Age <= 70
HR,35.0,160.0,11705295,33568,11671727,rSO2_Ch3,1,Age_less_70,Age <= 70
RRtotal,4.0,35.0,2786097,4976,2781121,rSO2_Ch3,1,Age_less_70,Age <= 70
TVinsp,150.0,1000.0,2776370,19477,2756893,rSO2_Ch3,1,Age_less_70,Age <= 70
Pmean,0.0,20.0,2769071,269,2768802,rSO2_Ch3,1,Age_less_70,Age <= 70
CI,0.5,8.0,11705295,15733,11689562,rSO2_Ch3,1,Age_less_70,Age <= 70
ET_CO2,20.0,50.0,7024943,208864,6816079,rSO2_Ch1,1,Age_more_70,Age > 70
rSO2_Ch1,25.0,95.0,7024943,11895,7013048,rSO2_Ch1,1,Age_more_70,Age > 70
TEMP,34.0,37.5,5706726,161226,5545500,rSO2_Ch1,1,Age_more_70,Age > 70
FiO2_new,30.0,100.0,6060634,216701,5843933,rSO2_Ch1,1,Age_more_70,Age > 70
MAP,20.0,160.0,5810743,1537,5809206,rSO2_Ch1,1,Age_more_70,Age > 70
SV,20.0,180.0,5810743,18493,5792250,rSO2_Ch1,1,Age_more_70,Age > 70
HR,35.0,160.0,5810743,14686,5796057,rSO2_Ch1,1,Age_more_70,Age > 70
RRtotal,4.0,35.0,1410891,2749,1408142,rSO2_Ch1,1,Age_more_70,Age > 70
TVinsp,150.0,1000.0,1406819,9573,1397246,rSO2_Ch1,1,Age_more_70,Age > 70
Pmean,0.0,20.0,1402270,105,1402165,rSO2_Ch1,1,Age_more_70,Age > 70
CI,0.5,8.0,5810743,7654,5803089,rSO2_Ch1,1,Age_more_70,Age > 70
ET_CO2,20.0,50.0,7047859,207702,6840157,rSO2_Ch2,1,Age_more_70,Age > 70
rSO2_Ch2,25.0,95.0,7047859,17803,7030056,rSO2_Ch2,1,Age_more_70,Age > 70
TEMP,34.0,37.5,5722556,160683,5561873,rSO2_Ch2,1,Age_more_70,Age > 70
FiO2_new,30.0,100.0,6079435,216656,5862779,rSO2_Ch2,1,Age_more_70,Age > 70
MAP,20.0,160.0,5818345,1518,5816827,rSO2_Ch2,1,Age_more_70,Age > 70
SV,20.0,180.0,5818345,17970,5800375,rSO2_Ch2,1,Age_more_70,Age > 70
HR,35.0,160.0,5818345,15176,5803169,rSO2_Ch2,1,Age_more_70,Age > 70
RRtotal,4.0,35.0,1412311,2797,1409514,rSO2_Ch2,1,Age_more_70,Age > 70
TVinsp,150.0,1000.0,1408179,9636,1398543,rSO2_Ch2,1,Age_more_70,Age > 70
Pmean,0.0,20.0,1403632,103,1403529,rSO2_Ch2,1,Age_more_70,Age > 70
CI,0.5,8.0,5818345,7606,5810739,rSO2_Ch2,1,Age_more_70,Age > 70
ET_CO2,20.0,50.0,7045375,209483,6835892,rSO2_Ch3,1,Age_more_70,Age > 70
rSO2_Ch3,25.0,95.0,7045375,5318,7040057,rSO2_Ch3,1,Age_more_70,Age > 70
TEMP,34.0,37.5,5714564,162041,5552523,rSO2_Ch3,1,Age_more_70,Age > 70
FiO2_new,30.0,100.0,6086619,217385,5869234,rSO2_Ch3,1,Age_more_70,Age > 70
MAP,20.0,160.0,5825333,1510,5823823,rSO2_Ch3,1,Age_more_70,Age > 70
SV,20.0,180.0,5825333,9103,5816230,rSO2_Ch3,1,Age_more_70,Age > 70
HR,35.0,160.0,5825333,15136,5810197,rSO2_Ch3,1,Age_more_70,Age > 70
RRtotal,4.0,35.0,1414671,2789,1411882,rSO2_Ch3,1,Age_more_70,Age > 70
TVinsp,150.0,1000.0,1410546,9656,1400890,rSO2_Ch3,1,Age_more_70,Age > 70
Pmean,0.0,20.0,1406022,107,1405915,rSO2_Ch3,1,Age_more_70,Age > 70
CI,0.5,8.0,5825333,7132,5818201,rSO2_Ch3,1,Age_more_70,Age > 70
ET_CO2,20.0,50.0,14874730,348476,14526254,rSO2_Ch1,1,Male,Sex == 1
rSO2_Ch1,25.0,95.0,14874730,15710,14859020,rSO2_Ch1,1,Male,Sex == 1
TEMP,34.0,37.5,12281133,260745,12020388,rSO2_Ch1,1,Male,Sex == 1
FiO2_new,30.0,100.0,12962946,316391,12646555,rSO2_Ch1,1,Male,Sex == 1
MAP,20.0,160.0,12612834,6951,12605883,rSO2_Ch1,1,Male,Sex == 1
SV,20.0,180.0,12612834,20149,12592685,rSO2_Ch1,1,Male,Sex == 1
HR,35.0,160.0,12612834,40021,12572813,rSO2_Ch1,1,Male,Sex == 1
RRtotal,4.0,35.0,3079927,5521,3074406,rSO2_Ch1,1,Male,Sex == 1
TVinsp,150.0,1000.0,3069672,18514,3051158,rSO2_Ch1,1,Male,Sex == 1
Pmean,0.0,20.0,3061401,203,3061198,rSO2_Ch1,1,Male,Sex == 1
CI,0.5,8.0,12612834,19359,12593475,rSO2_Ch1,1,Male,Sex == 1
ET_CO2,20.0,50.0,14903704,349157,14554547,rSO2_Ch2,1,Male,Sex == 1
rSO2_Ch2,25.0,95.0,14903704,26945,14876759,rSO2_Ch2,1,Male,Sex == 1
TEMP,34.0,37.5,12308070,259572,12048498,rSO2_Ch2,1,Male,Sex == 1
FiO2_new,30.0,100.0,12986572,317306,12669266,rSO2_Ch2,1,Male,Sex == 1
MAP,20.0,160.0,12609347,6922,12602425,rSO2_Ch2,1,Male,Sex == 1
SV,20.0,180.0,12609347,19792,12589555,rSO2_Ch2,1,Male,Sex == 1
HR,35.0,160.0,12609347,40288,12569059,rSO2_Ch2,1,Male,Sex == 1
RRtotal,4.0,35.0,3080155,5600,3074555,rSO2_Ch2,1,Male,Sex == 1
TVinsp,150.0,1000.0,3069747,18608,3051139,rSO2_Ch2,1,Male,Sex == 1
Pmean,0.0,20.0,3061514,207,3061307,rSO2_Ch2,1,Male,Sex == 1
CI,0.5,8.0,12609347,19283,12590064,rSO2_Ch2,1,Male,Sex == 1
ET_CO2,20.0,50.0,14870217,348443,14521774,rSO2_Ch3,1,Male,Sex == 1
rSO2_Ch3,25.0,95.0,14870217,16283,14853934,rSO2_Ch3,1,Male,Sex == 1
TEMP,34.0,37.5,12251607,260404,11991203,rSO2_Ch3,1,Male,Sex == 1
FiO2_new,30.0,100.0,12968391,313340,12655051,rSO2_Ch3,1,Male,Sex == 1
MAP,20.0,160.0,12589878,6597,12583281,rSO2_Ch3,1,Male,Sex == 1
SV,20.0,180.0,12589878,20422,12569456,rSO2_Ch3,1,Male,Sex == 1
HR,35.0,160.0,12589878,40598,12549280,rSO2_Ch3,1,Male,Sex == 1
RRtotal,4.0,35.0,3076758,5567,3071191,rSO2_Ch3,1,Male,Sex == 1
TVinsp,150.0,1000.0,3066732,18672,3048060,rSO2_Ch3,1,Male,Sex == 1
Pmean,0.0,20.0,3058254,210,3058044,rSO2_Ch3,1,Male,Sex == 1
CI,0.5,8.0,12589878,19549,12570329,rSO2_Ch3,1,Male,Sex == 1
ET_CO2,20.0,50.0,5782823,168898,5613925,rSO2_Ch1,1,Female,Sex == 0
rSO2_Ch1,25.0,95.0,5782823,10622,5772201,rSO2_Ch1,1,Female,Sex == 0
TEMP,34.0,37.5,4598303,125073,4473230,rSO2_Ch1,1,Female,Sex == 0
FiO2_new,30.0,100.0,5064778,172789,4891989,rSO2_Ch1,1,Female,Sex == 0
MAP,20.0,160.0,4888185,433,4887752,rSO2_Ch1,1,Female,Sex == 0
SV,20.0,180.0,4888185,16685,4871500,rSO2_Ch1,1,Female,Sex == 0
HR,35.0,160.0,4888185,8050,4880135,rSO2_Ch1,1,Female,Sex == 0
RRtotal,4.0,35.0,1115780,2161,1113619,rSO2_Ch1,1,Female,Sex == 0
TVinsp,150.0,1000.0,1112008,10288,1101720,rSO2_Ch1,1,Female,Sex == 0
Pmean,0.0,20.0,1108697,160,1108537,rSO2_Ch1,1,Female,Sex == 0
CI,0.5,8.0,4888185,3836,4884349,rSO2_Ch1,1,Female,Sex == 0
ET_CO2,20.0,50.0,5814512,168642,5645870,rSO2_Ch2,1,Female,Sex == 0
rSO2_Ch2,25.0,95.0,5814512,5353,5809159,rSO2_Ch2,1,Female,Sex == 0
TEMP,34.0,37.5,4621637,127481,4494156,rSO2_Ch2,1,Female,Sex == 0
FiO2_new,30.0,100.0,5101503,173223,4928280,rSO2_Ch2,1,Female,Sex == 0
MAP,20.0,160.0,4927914,500,4927414,rSO2_Ch2,1,Female,Sex == 0
SV,20.0,180.0,4927914,15949,4911965,rSO2_Ch2,1,Female,Sex == 0
HR,35.0,160.0,4927914,8045,4919869,rSO2_Ch2,1,Female,Sex == 0
RRtotal,4.0,35.0,1119522,2201,1117321,rSO2_Ch2,1,Female,Sex == 0
TVinsp,150.0,1000.0,1115688,10374,1105314,rSO2_Ch2,1,Female,Sex == 0
Pmean,0.0,20.0,1112389,164,1112225,rSO2_Ch2,1,Female,Sex == 0
CI,0.5,8.0,4927914,3762,4924152,rSO2_Ch2,1,Female,Sex == 0
ET_CO2,20.0,50.0,5842599,170066,5672533,rSO2_Ch3,1,Female,Sex == 0
rSO2_Ch3,25.0,95.0,5842599,11650,5830949,rSO2_Ch3,1,Female,Sex == 0
TEMP,34.0,37.5,4636204,128157,4508047,rSO2_Ch3,1,Female,Sex == 0
FiO2_new,30.0,100.0,5111992,174257,4937735,rSO2_Ch3,1,Female,Sex == 0
MAP,20.0,160.0,4940750,667,4940083,rSO2_Ch3,1,Female,Sex == 0
SV,20.0,180.0,4940750,7067,4933683,rSO2_Ch3,1,Female,Sex == 0
HR,35.0,160.0,4940750,8106,4932644,rSO2_Ch3,1,Female,Sex == 0
RRtotal,4.0,35.0,1124010,2198,1121812,rSO2_Ch3,1,Female,Sex == 0
TVinsp,150.0,1000.0,1120184,10461,1109723,rSO2_Ch3,1,Female,Sex == 0
Pmean,0.0,20.0,1116839,166,1116673,rSO2_Ch3,1,Female,Sex == 0
CI,0.5,8.0,4940750,3316,4937434,rSO2_Ch3,1,Female,Sex == 0
ET_CO2,20.0,50.0,4580223,115034,4465189,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
rSO2_Ch1,25.0,95.0,4580223,2876,4577347,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
TEMP,34.0,37.5,3737794,83344,3654450,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
FiO2_new,30.0,100.0,3916249,108481,3807768,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
