column,filled_by_forward_fill,filled_by_subject_median,filled_by_global_median,remaining_missing,global_median,ycol,sec,subgroup,subgroup_query
TEMP,557224,1082188,676620,0,35.57,rSO2_Ch1,1,Age_less_70,Age <= 70
FiO2_new,1513756,8027,47756,0,62.0,rSO2_Ch1,1,Age_less_70,Age <= 70
MAP,1551101,17505,11115,0,75.0,rSO2_Ch1,1,Age_less_70,Age <= 70
SV,1563228,17872,11115,0,73.8,rSO2_Ch1,1,Age_less_70,Age <= 70
CI,1561230,17070,11115,0,2.53,rSO2_Ch1,1,Age_less_70,Age <= 70
HR,1579786,16358,11115,0,61.9,rSO2_Ch1,1,Age_less_70,Age <= 70
RRtotal,10116979,7533,359755,0,13.0,rSO2_Ch1,1,Age_less_70,Age <= 70
TVinsp,10142817,5946,359755,0,418.0,rSO2_Ch1,1,Age_less_70,Age <= 70
Pmean,10125992,10833,359755,0,6.0,rSO2_Ch1,1,Age_less_70,Age <= 70
TEMP,572211,1090588,656277,0,35.57,rSO2_Ch2,1,Age_less_70,Age <= 70
FiO2_new,1508891,8264,47935,0,62.0,rSO2_Ch2,1,Age_less_70,Age <= 70
MAP,1557739,18054,11052,0,75.0,rSO2_Ch2,1,Age_less_70,Age <= 70
SV,1569430,18230,11052,0,73.8,rSO2_Ch2,1,Age_less_70,Age <= 70
CI,1567880,17448,11052,0,2.53,rSO2_Ch2,1,Age_less_70,Age <= 70
HR,1586199,16847,11052,0,61.9,rSO2_Ch2,1,Age_less_70,Age <= 70
RRtotal,10126442,8062,382991,0,13.0,rSO2_Ch2,1,Age_less_70,Age <= 70
TVinsp,10152582,6374,382991,0,418.0,rSO2_Ch2,1,Age_less_70,Age <= 70
Pmean,10135629,11234,382991,0,6.0,rSO2_Ch2,1,Age_less_70,Age <= 70
TEMP,576782,1113269,648697,0,35.57,rSO2_Ch3,1,Age_less_70,Age <= 70
FiO2_new,1505491,8270,48162,0,62.0,rSO2_Ch3,1,Age_less_70,Age <= 70
MAP,1557598,17290,11046,0,75.0,rSO2_Ch3,1,Age_less_70,Age <= 70
SV,1569226,18294,11046,0,73.8,rSO2_Ch3,1,Age_less_70,Age <= 70
CI,1567829,17038,11046,0,2.53,rSO2_Ch3,1,Age_less_70,Age <= 70
HR,1586219,16483,11046,0,61.9,rSO2_Ch3,1,Age_less_70,Age <= 70
RRtotal,10118537,8007,377810,0,13.0,rSO2_Ch3,1,Age_less_70,Age <= 70
TVinsp,10144457,6315,377810,0,418.0,rSO2_Ch3,1,Age_less_70,Age <= 70
Pmean,10127803,11060,377810,0,6.0,rSO2_Ch3,1,Age_less_70,Age <= 70
TEMP,327161,632607,252285,0,35.45,rSO2_Ch1,1,Age_more_70,Age > 70
FiO2_new,891167,7102,15351,0,62.0,rSO2_Ch1,1,Age_more_70,Age > 70
MAP,937744,2938,7665,0,73.0,rSO2_Ch1,1,Age_more_70,Age > 70
SV,942859,2773,19671,0,68.6,rSO2_Ch1,1,Age_more_70,Age > 70
CI,943919,2880,7665,0,2.3,rSO2_Ch1,1,Age_more_70,Age > 70
HR,951311,2520,7665,0,60.0,rSO2_Ch1,1,Age_more_70,Age > 70
RRtotal,5233816,3519,112076,0,12.0,rSO2_Ch1,1,Age_more_70,Age > 70
TVinsp,5245292,2939,112076,0,403.0,rSO2_Ch1,1,Age_more_70,Age > 70
Pmean,5237873,5439,112076,0,6.0,rSO2_Ch1,1,Age_more_70,Age > 70
TEMP,326344,629130,258393,0,35.45,rSO2_Ch2,1,Age_more_70,Age > 70
FiO2_new,890506,7107,15348,0,62.0,rSO2_Ch2,1,Age_more_70,Age > 70
MAP,948339,2899,7675,0,73.0,rSO2_Ch2,1,Age_more_70,Age > 70
SV,954019,2734,18612,0,68.5,rSO2_Ch2,1,Age_more_70,Age > 70
CI,954485,2841,7675,0,2.3,rSO2_Ch2,1,Age_more_70,Age > 70
HR,962415,2481,7675,0,60.0,rSO2_Ch2,1,Age_more_70,Age > 70
RRtotal,5241425,3514,121287,0,12.0,rSO2_Ch2,1,Age_more_70,Age > 70
TVinsp,5252970,2940,121287,0,403.0,rSO2_Ch2,1,Age_more_70,Age > 70
Pmean,5245515,5409,121287,0,6.0,rSO2_Ch2,1,Age_more_70,Age > 70
TEMP,330734,639314,260713,0,35.45,rSO2_Ch3,1,Age_more_70,Age > 70
FiO2_new,891605,7094,15351,0,62.0,rSO2_Ch3,1,Age_more_70,Age > 70
MAP,947667,4103,7691,0,73.0,rSO2_Ch3,1,Age_more_70,Age > 70
SV,955421,3942,7691,0,68.5,rSO2_Ch3,1,Age_more_70,Age > 70
CI,953343,4049,7691,0,2.3,rSO2_Ch3,1,Age_more_70,Age > 70
HR,961682,3714,7691,0,60.0,rSO2_Ch3,1,Age_more_70,Age > 70
RRtotal,5246326,3266,121810,0,12.0,rSO2_Ch3,1,Age_more_70,Age > 70
TVinsp,5257901,2683,121810,0,403.0,rSO2_Ch3,1,Age_more_70,Age > 70
Pmean,5250514,5045,121810,0,6.0,rSO2_Ch3,1,Age_more_70,Age > 70
TEMP,616775,1233410,590041,0,35.56,rSO2_Ch1,1,Male,Sex == 1
FiO2_new,1751691,14591,47777,0,62.0,rSO2_Ch1,1,Male,Sex == 1
MAP,1824170,11781,18780,0,75.0,rSO2_Ch1,1,Male,Sex == 1
SV,1837268,11881,18780,0,73.8,rSO2_Ch1,1,Male,Sex == 1
CI,1837069,11290,18780,0,2.44,rSO2_Ch1,1,Male,Sex == 1
HR,1858677,10344,18780,0,61.9,rSO2_Ch1,1,Male,Sex == 1
RRtotal,11050931,8017,327260,0,13.0,rSO2_Ch1,1,Male,Sex == 1
TVinsp,11075673,6523,327260,0,427.0,rSO2_Ch1,1,Male,Sex == 1
Pmean,11059987,12169,327260,0,6.0,rSO2_Ch1,1,Male,Sex == 1
TEMP,626442,1231502,570931,0,35.56,rSO2_Ch2,1,Male,Sex == 1
FiO2_new,1745912,14623,47572,0,62.0,rSO2_Ch2,1,Male,Sex == 1
MAP,1844070,12151,18727,0,75.0,rSO2_Ch2,1,Male,Sex == 1
SV,1856846,12245,18727,0,73.8,rSO2_Ch2,1,Male,Sex == 1
CI,1856961,11621,18727,0,2.44,rSO2_Ch2,1,Male,Sex == 1
HR,1878800,10787,18727,0,61.2,rSO2_Ch2,1,Male,Sex == 1
RRtotal,11049381,8153,345284,0,13.0,rSO2_Ch2,1,Male,Sex == 1
TVinsp,11074355,6595,345284,0,427.0,rSO2_Ch2,1,Male,Sex == 1
Pmean,11058633,12149,345284,0,6.0,rSO2_Ch2,1,Male,Sex == 1
TEMP,632911,1242601,584732,0,35.56,rSO2_Ch3,1,Male,Sex == 1
FiO2_new,1734026,14593,47777,0,62.0,rSO2_Ch3,1,Male,Sex == 1
MAP,1838028,11401,18737,0,75.0,rSO2_Ch3,1,Male,Sex == 1
SV,1851412,11842,18737,0,73.8,rSO2_Ch3,1,Male,Sex == 1
CI,1851152,11229,18737,0,2.44,rSO2_Ch3,1,Male,Sex == 1
HR,1872989,10441,18737,0,61.2,rSO2_Ch3,1,Male,Sex == 1
RRtotal,11033380,7794,339082,0,13.0,rSO2_Ch3,1,Male,Sex == 1
TVinsp,11058032,6273,339082,0,427.0,rSO2_Ch3,1,Male,Sex == 1
Pmean,11042628,11693,339082,0,6.0,rSO2_Ch3,1,Male,Sex == 1
TEMP,267610,481385,338864,0,35.45,rSO2_Ch1,1,Female,Sex == 0
FiO2_new,653232,538,15330,0,63.0,rSO2_Ch1,1,Female,Sex == 0
MAP,664675,8662,0,0,74.0,rSO2_Ch1,1,Female,Sex == 0
SV,668819,8764,12006,0,67.6,rSO2_Ch1,1,Female,Sex == 0
CI,668080,8660,0,0,2.49,rSO2_Ch1,1,Female,Sex == 0
HR,672420,8534,0,0,61.2,rSO2_Ch1,1,Female,Sex == 0
RRtotal,4299864,3035,144571,0,12.0,rSO2_Ch1,1,Female,Sex == 0
TVinsp,4312436,2362,144571,0,391.0,rSO2_Ch1,1,Female,Sex == 0
Pmean,4303878,4103,144571,0,6.0,rSO2_Ch1,1,Female,Sex == 0
TEMP,272113,488216,343739,0,35.45,rSO2_Ch2,1,Female,Sex == 0
FiO2_new,653485,748,15711,0,63.0,rSO2_Ch2,1,Female,Sex == 0
MAP,662008,8802,0,0,74.0,rSO2_Ch2,1,Female,Sex == 0
SV,666603,8719,10937,0,67.5,rSO2_Ch2,1,Female,Sex == 0
CI,665404,8668,0,0,2.49,rSO2_Ch2,1,Female,Sex == 0
HR,669814,8541,0,0,61.2,rSO2_Ch2,1,Female,Sex == 0
RRtotal,4318486,3423,158994,0,12.0,rSO2_Ch2,1,Female,Sex == 0
TVinsp,4331197,2719,158994,0,391.0,rSO2_Ch2,1,Female,Sex == 0
Pmean,4322511,4494,158994,0,6.0,rSO2_Ch2,1,Female,Sex == 0
TEMP,274605,509982,324678,0,35.44,rSO2_Ch3,1,Female,Sex == 0
FiO2_new,663070,771,15736,0,63.0,rSO2_Ch3,1,Female,Sex == 0
MAP,667237,9992,0,0,74.0,rSO2_Ch3,1,Female,Sex == 0
SV,673235,10394,0,0,67.6,rSO2_Ch3,1,Female,Sex == 0
CI,670020,9858,0,0,2.49,rSO2_Ch3,1,Female,Sex == 0
HR,674912,9756,0,0,61.2,rSO2_Ch3,1,Female,Sex == 0
RRtotal,4331483,3479,160538,0,12.0,rSO2_Ch3,1,Female,Sex == 0
TVinsp,4344326,2725,160538,0,391.0,rSO2_Ch3,1,Female,Sex == 0
Pmean,4335689,4412,160538,0,6.0,rSO2_Ch3,1,Female,Sex == 0
TEMP,194519,396236,194974,0,35.51,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
FiO2_new,614238,1212,16961,0,62.0,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
MAP,605016,3736,0,0,75.0,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
SV,614478,3261,0,0,75.1,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
CI,612332,3393,0,0,2.51,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
HR,617396,3079,0,0,60.0,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
RRtotal,3422814,2451,81650,0,13.0,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
TVinsp,3432004,1897,81650,0,417.0,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
Pmean,3426634,3043,81650,0,6.0,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
TEMP,195736,395140,194875,0,35.51,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
FiO2_new,611752,1215,16961,0,62.0,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
MAP,613363,4226,0,0,75.0,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
SV,623084,3751,0,0,74.9,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
CI,620712,3883,0,0,2.51,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
HR,625910,3571,0,0,60.0,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
RRtotal,3441592,2488,80778,0,13.0,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
TVinsp,3450911,1910,80778,0,418.0,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
Pmean,3445508,3051,80778,0,6.0,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
TEMP,196868,407460,181972,0,35.52,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
FiO2_new,616465,1207,16961,0,62.0,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
MAP,611413,3476,0,0,75.0,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
SV,620779,3382,0,0,74.9,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
CI,618429,3514,0,0,2.51,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
HR,623711,3300,0,0,60.0,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
RRtotal,3439690,2455,82399,0,13.0,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
TVinsp,3449045,1906,82399,0,417.0,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
Pmean,3443404,3053,82399,0,6.0,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
TEMP,689866,1318559,733931,0,35.53,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
FiO2_new,1790685,13917,46146,0,62.0,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
MAP,1883829,16707,18780,0,74.0,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
SV,1891609,17384,30786,0,71.3,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
CI,1892817,16557,18780,0,2.44,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
HR,1913701,15799,18780,0,61.9,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
RRtotal,11927981,8601,390181,0,13.0,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
TVinsp,11956105,6988,390181,0,408.0,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
Pmean,11937231,13229,390181,0,6.0,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
TEMP,702819,1324578,719795,0,35.53,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
FiO2_new,1787645,14156,46322,0,62.0,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
MAP,1892715,16727,18727,0,74.0,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
SV,1900365,17213,29664,0,71.3,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
CI,1901653,16406,18727,0,2.44,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
HR,1922704,15757,18727,0,61.9,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
RRtotal,11926275,9088,423500,0,13.0,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
TVinsp,11954641,7404,423500,0,408.0,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
Pmean,11935636,13592,423500,0,6.0,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
TEMP,710648,1345123,727438,0,35.53,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
FiO2_new,1780631,14157,46552,0,62.0,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
MAP,1893852,17917,18737,0,74.0,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
SV,1903868,18854,18737,0,71.3,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
CI,1902743,17573,18737,0,2.44,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
HR,1924190,16897,18737,0,61.9,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
RRtotal,11925173,8818,417221,0,13.0,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
TVinsp,11953313,7092,417221,0,408.0,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
Pmean,11934913,13052,417221,0,6.0,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
