model,scope,subgroup,view,kept,reason,source_ppt,dest_ppt
mapci_te,sample,,by_channel,yes,latest_per_logical_run_and_unique_content,/N/project/waveform_mortality/ZhaoZhang/contour_zhao_all_9_15_2025/fig_output/R_intraop5_slice_only_ppt_v2_4_1_2026_multismooth/from_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260507_014735_overall_mapci_te_n100k_boot200_slice_y66_80_2_ycCh1_Ch2_Ch3_v20260512_093435/intraop_multivar_slice_by_channel_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260507_014735_overall_mapci_te_n100k_boot200.pptx,/N/project/waveform_mortality/ZhaoZhang/co2_rso2_repo_20260516/results/ppt_slurm_co2_consolidated_20260516/mapci_te/sample/all/by_channel/intraop_multivar_slice_by_channel_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260507_014735_overall_mapci_te_n100k_boot200.pptx
mapci_te,sample,,merged3ch,yes,latest_per_logical_run_and_unique_content,/N/project/waveform_mortality/ZhaoZhang/contour_zhao_all_9_15_2025/fig_output/R_intraop5_slice_only_ppt_v2_4_1_2026_multismooth/from_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260507_014735_overall_mapci_te_n100k_boot200_slice_y66_80_2_ycCh1_Ch2_Ch3_v20260512_093435/intraop_multivar_slice_merged3ch_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260507_014735_overall_mapci_te_n100k_boot200.pptx,/N/project/waveform_mortality/ZhaoZhang/co2_rso2_repo_20260516/results/ppt_slurm_co2_consolidated_20260516/mapci_te/sample/all/merged3ch/intraop_multivar_slice_merged3ch_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260507_014735_overall_mapci_te_n100k_boot200.pptx
modelB,sample,,by_channel,yes,latest_per_logical_run_and_unique_content,/N/project/waveform_mortality/ZhaoZhang/contour_zhao_all_9_15_2025/fig_output/R_intraop5_slice_only_ppt_v2_4_1_2026_multismooth/from_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_overall_modelB_sec1_n10000_boot200_rowreplace_slice_y66_80_2_ycCh1_Ch2_Ch3_xco2_20_50_5/intraop_multivar_slice_by_channel_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_overall_modelB_sec1_n10000_boot200_rowreplace.pptx,/N/project/waveform_mortality/ZhaoZhang/co2_rso2_repo_20260516/results/ppt_slurm_co2_consolidated_20260516/modelB/sample/all/by_channel/intraop_multivar_slice_by_channel_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_overall_modelB_sec1_n10000_boot200_rowreplace.pptx
modelB,sample,,merged3ch,yes,latest_per_logical_run_and_unique_content,/N/project/waveform_mortality/ZhaoZhang/contour_zhao_all_9_15_2025/fig_output/R_intraop5_slice_only_ppt_v2_4_1_2026_multismooth/from_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_overall_modelB_sec1_n10000_boot200_rowreplace_slice_y66_80_2_ycCh1_Ch2_Ch3_xco2_20_50_5/intraop_multivar_slice_merged3ch_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_overall_modelB_sec1_n10000_boot200_rowreplace.pptx,/N/project/waveform_mortality/ZhaoZhang/co2_rso2_repo_20260516/results/ppt_slurm_co2_consolidated_20260516/modelB/sample/all/merged3ch/intraop_multivar_slice_merged3ch_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_overall_modelB_sec1_n10000_boot200_rowreplace.pptx
modelB,subgroup,Age_less_70,by_channel,yes,latest_per_logical_run_and_unique_content,/N/project/waveform_mortality/ZhaoZhang/contour_zhao_all_9_15_2025/fig_output/R_intraop5_slice_only_ppt_v2_4_1_2026_multismooth/from_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_subgroup_modelB_sec1_n10000_boot200_rowreplace_slice_y66_80_2_ycCh1_Ch2_Ch3_xco2_20_50_5/subgroup_Age_less_70/intraop_multivar_slice_by_channel_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_subgroup_modelB_sec1_n10000_boot200_rowreplace_sg_Age_less_70.pptx,/N/project/waveform_mortality/ZhaoZhang/co2_rso2_repo_20260516/results/ppt_slurm_co2_consolidated_20260516/modelB/subgroup/Age_less_70/by_channel/intraop_multivar_slice_by_channel_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_subgroup_modelB_sec1_n10000_boot200_rowreplace_sg_Age_less_70.pptx
modelB,subgroup,Age_less_70,merged3ch,yes,latest_per_logical_run_and_unique_content,/N/project/waveform_mortality/ZhaoZhang/contour_zhao_all_9_15_2025/fig_output/R_intraop5_slice_only_ppt_v2_4_1_2026_multismooth/from_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_subgroup_modelB_sec1_n10000_boot200_rowreplace_slice_y66_80_2_ycCh1_Ch2_Ch3_xco2_20_50_5/subgroup_Age_less_70/intraop_multivar_slice_merged3ch_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_subgroup_modelB_sec1_n10000_boot200_rowreplace_sg_Age_less_70.pptx,/N/project/waveform_mortality/ZhaoZhang/co2_rso2_repo_20260516/results/ppt_slurm_co2_consolidated_20260516/modelB/subgroup/Age_less_70/merged3ch/intraop_multivar_slice_merged3ch_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_subgroup_modelB_sec1_n10000_boot200_rowreplace_sg_Age_less_70.pptx
modelB,subgroup,Age_more_70,by_channel,yes,latest_per_logical_run_and_unique_content,/N/project/waveform_mortality/ZhaoZhang/contour_zhao_all_9_15_2025/fig_output/R_intraop5_slice_only_ppt_v2_4_1_2026_multismooth/from_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_subgroup_modelB_sec1_n10000_boot200_rowreplace_slice_y66_80_2_ycCh1_Ch2_Ch3_xco2_20_50_5/subgroup_Age_more_70/intraop_multivar_slice_by_channel_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_subgroup_modelB_sec1_n10000_boot200_rowreplace_sg_Age_more_70.pptx,/N/project/waveform_mortality/ZhaoZhang/co2_rso2_repo_20260516/results/ppt_slurm_co2_consolidated_20260516/modelB/subgroup/Age_more_70/by_channel/intraop_multivar_slice_by_channel_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_subgroup_modelB_sec1_n10000_boot200_rowreplace_sg_Age_more_70.pptx
modelB,subgroup,Age_more_70,merged3ch,yes,latest_per_logical_run_and_unique_content,/N/project/waveform_mortality/ZhaoZhang/contour_zhao_all_9_15_2025/fig_output/R_intraop5_slice_only_ppt_v2_4_1_2026_multismooth/from_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_subgroup_modelB_sec1_n10000_boot200_rowreplace_slice_y66_80_2_ycCh1_Ch2_Ch3_xco2_20_50_5/subgroup_Age_more_70/intraop_multivar_slice_merged3ch_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_subgroup_modelB_sec1_n10000_boot200_rowreplace_sg_Age_more_70.pptx,/N/project/waveform_mortality/ZhaoZhang/co2_rso2_repo_20260516/results/ppt_slurm_co2_consolidated_20260516/modelB/subgroup/Age_more_70/merged3ch/intraop_multivar_slice_merged3ch_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_subgroup_modelB_sec1_n10000_boot200_rowreplace_sg_Age_more_70.pptx
modelB,subgroup,Female,by_channel,yes,latest_per_logical_run_and_unique_content,/N/project/waveform_mortality/ZhaoZhang/contour_zhao_all_9_15_2025/fig_output/R_intraop5_slice_only_ppt_v2_4_1_2026_multismooth/from_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_subgroup_modelB_sec1_n10000_boot200_rowreplace_slice_y66_80_2_ycCh1_Ch2_Ch3_xco2_20_50_5/subgroup_Female/intraop_multivar_slice_by_channel_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_subgroup_modelB_sec1_n10000_boot200_rowreplace_sg_Female.pptx,/N/project/waveform_mortality/ZhaoZhang/co2_rso2_repo_20260516/results/ppt_slurm_co2_consolidated_20260516/modelB/subgroup/Female/by_channel/intraop_multivar_slice_by_channel_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_subgroup_modelB_sec1_n10000_boot200_rowreplace_sg_Female.pptx
modelB,subgroup,Female,merged3ch,yes,latest_per_logical_run_and_unique_content,/N/project/waveform_mortality/ZhaoZhang/contour_zhao_all_9_15_2025/fig_output/R_intraop5_slice_only_ppt_v2_4_1_2026_multismooth/from_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_subgroup_modelB_sec1_n10000_boot200_rowreplace_slice_y66_80_2_ycCh1_Ch2_Ch3_xco2_20_50_5/subgroup_Female/intraop_multivar_slice_merged3ch_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_subgroup_modelB_sec1_n10000_boot200_rowreplace_sg_Female.pptx,/N/project/waveform_mortality/ZhaoZhang/co2_rso2_repo_20260516/results/ppt_slurm_co2_consolidated_20260516/modelB/subgroup/Female/merged3ch/intraop_multivar_slice_merged3ch_v5_6_2026_rev2_20260506_co2tempfio2_hemo_adj_boot20_rso2_25_95_full_20260513_154630_subgroup_modelB_sec1_n10000_boot200_rowreplace_sg_Female.pptx
