cohort,ycol,available_data_points_n,available_patients_n,outlier_criterion,data_points_removed_n_pct,removed_n,removed_pct,patients_with_removed_points_n_pct,patients_with_removed_points_n,patients_with_removed_points_pct,removed_EtCO2_median_iqr_mmHg,removed_EtCO2_range_mmHg,corresponding_tissue_oxygen_median_iqr_pct,corresponding_tissue_oxygen_range_pct
Left SctO2 cohort,rSO2_Ch1,20657553,1792,EtCO2 ≤20,"566,069 (2.74%)",566069,2.7402519553017726,"1,751 (97.71%)",1751,97.71205357142857,13.0 (6.0 – 18.0),1.0 – 20.0,73.0 (68.0 – 77.0),0.0 – 100.0
Left SctO2 cohort,rSO2_Ch1,20657553,1792,EtCO2 ≥50,"43,291 (0.21%)",43291,0.2095649954280645,484 (27.01%),484,27.008928571428573,53.0 (51.0 – 56.0),50.0 – 124.0,80.0 (76.0 – 84.0),39.0 – 100.0
Left SctO2 cohort,rSO2_Ch1,20657553,1792,Tissue oxygen ≤20,"3,889 (0.02%)",3889,0.01882604391720549,84 (4.69%),84,4.6875,29.0 (27.0 – 32.0),1.0 – 48.0,5.0 (2.0 – 13.0),0.0 – 20.0
Left SctO2 cohort,rSO2_Ch1,20657553,1792,Tissue oxygen ≥95,"24,198 (0.12%)",24198,0.11713875307496488,164 (9.15%),164,9.151785714285714,31.0 (29.0 – 34.0),1.0 – 67.0,100.0 (97.0 – 100.0),95.0 – 100.0
Right SctO2 cohort,rSO2_Ch2,20718216,1793,EtCO2 ≤20,"566,721 (2.74%)",566721,2.7353754782747703,"1,751 (97.66%)",1751,97.65755716675962,13.0 (6.0 – 18.0),1.0 – 20.0,73.0 (69.0 – 77.0),0.0 – 100.0
Right SctO2 cohort,rSO2_Ch2,20718216,1793,EtCO2 ≥50,"43,337 (0.21%)",43337,0.20917341531722616,488 (27.22%),488,27.216954824316787,53.0 (51.0 – 56.0),50.0 – 124.0,81.0 (77.0 – 85.0),17.0 – 100.0
Right SctO2 cohort,rSO2_Ch2,20718216,1793,Tissue oxygen ≤20,"1,496 (0.01%)",1496,0.007220698925042581,71 (3.96%),71,3.9598438371444504,31.0 (27.0 – 34.0),1.0 – 62.0,6.0 (2.0 – 13.0),0.0 – 20.0
Right SctO2 cohort,rSO2_Ch2,20718216,1793,Tissue oxygen ≥95,"32,489 (0.16%)",32489,0.15681369476985857,154 (8.59%),154,8.588957055214724,27.0 (26.0 – 34.0),1.0 – 60.0,100.0 (100.0 – 100.0),95.0 – 100.0
Frontal SctO2 cohort,rSO2_Ch3,20712816,1789,EtCO2 ≤20,"567,463 (2.74%)",567463,2.739670936100625,"1,748 (97.71%)",1748,97.70821688093908,13.0 (6.0 – 18.0),1.0 – 20.0,75.0 (71.0 – 79.0),14.0 – 100.0
Frontal SctO2 cohort,rSO2_Ch3,20712816,1789,EtCO2 ≥50,"43,815 (0.21%)",43815,0.21153569847769613,489 (27.33%),489,27.33370598099497,53.0 (51.0 – 56.0),50.0 – 124.0,78.0 (75.0 – 82.0),43.0 – 100.0
Frontal SctO2 cohort,rSO2_Ch3,20712816,1789,Tissue oxygen ≤20,281 (0.00%),281,0.0013566479806512064,12 (0.67%),12,0.6707657909446618,33.0 (28.0 – 38.0),11.0 – 42.0,13.0 (3.0 – 16.0),0.0 – 20.0
Frontal SctO2 cohort,rSO2_Ch3,20712816,1789,Tissue oxygen ≥95,"33,454 (0.16%)",33454,0.16151352862884505,88 (4.92%),88,4.918949133594187,33.0 (30.0 – 35.0),1.0 – 55.0,99.0 (96.0 – 100.0),95.0 – 100.0
