cohort,ycol,covariate,available_data_points_n,mean_sd,median_iqr,missing_after_clip_n,missing_after_clip_pct,forward_imputation_n,forward_imputation_pct,median_imputation_n,median_imputation_pct,median_missing_episode_duration_iqr_min,median_missing_duration_all_patients_iqr_min,median_missing_duration_missing_patients_iqr_min,newly_clipped_to_missing_n
Left SctO2 cohort,rSO2_Ch1,TEMP,20022179,35.5 (0.7),35.5 (35.1 – 36.0),3286189,16.41,650158,3.25,2636031,13.17,0 (0 – 0),19 (10 – 32),19 (10 – 32),143717
Left SctO2 cohort,rSO2_Ch1,FiO2_new,20022179,64.6 (14.5),61.0 (57.0 – 70.0),2323756,11.61,2257777,11.28,65979,0.33,0 (0 – 0),0 (0 – 1),49 (1 – 135),329688
Left SctO2 cohort,rSO2_Ch1,MAP,20022179,76.1 (14.8),75.0 (66.0 – 85.0),2528175,12.63,2488887,12.43,39288,0.2,0 (0 – 0),18 (11 – 29),18 (11 – 29),7384
Left SctO2 cohort,rSO2_Ch1,SV,20022179,74.6 (22.4),72.1 (58.5 – 87.7),2557625,12.77,2506129,12.52,51496,0.26,0 (0 – 0),18 (11 – 30),18 (11 – 30),36834
Left SctO2 cohort,rSO2_Ch1,HR,20022179,63.4 (11.4),62.5 (55.6 – 69.8),2568862,12.83,2531139,12.64,37723,0.19,0 (0 – 0),18 (11 – 30),18 (11 – 30),48071
Left SctO2 cohort,rSO2_Ch1,CI,20022179,2.6 (0.8),2.5 (2.0 – 3.1),2534878,12.66,2496346,12.47,38532,0.19,0 (0 – 0),18 (11 – 30),18 (11 – 30),14087
Right SctO2 cohort,rSO2_Ch2,TEMP,20075759,35.5 (0.7),35.5 (35.1 – 36.0),3289148,16.38,662434,3.3,2626714,13.08,0 (0 – 0),20 (10 – 32),20 (10 – 32),143169
Right SctO2 cohort,rSO2_Ch2,FiO2_new,20075759,64.6 (14.6),61.0 (56.0 – 70.0),2318312,11.55,2251951,11.22,66361,0.33,0 (0 – 0),0 (0 – 1),47 (1 – 135),330784
Right SctO2 cohort,rSO2_Ch2,MAP,20075759,76.1 (14.8),75.0 (66.0 – 85.0),2545824,12.68,2506118,12.48,39706,0.2,0 (0 – 0),18 (11 – 30),18 (11 – 30),7422
Right SctO2 cohort,rSO2_Ch2,SV,20075759,74.6 (22.4),72.1 (58.5 – 87.6),2574143,12.82,2523489,12.57,50654,0.25,0 (0 – 0),18 (11 – 30),18 (11 – 30),35741
Right SctO2 cohort,rSO2_Ch2,HR,20075759,63.4 (11.5),62.5 (55.6 – 69.8),2586736,12.88,2548655,12.7,38081,0.19,0 (0 – 0),18 (11 – 30),18 (11 – 30),48334
Right SctO2 cohort,rSO2_Ch2,CI,20075759,2.6 (0.8),2.5 (2.0 – 3.1),2552359,12.71,2513580,12.52,38779,0.19,0 (0 – 0),18 (11 – 30),18 (11 – 30),13957
Frontal SctO2 cohort,rSO2_Ch3,TEMP,20068989,35.5 (0.7),35.5 (35.1 – 36.0),3324846,16.57,670843,3.34,2654003,13.22,0 (0 – 0),20 (10 – 32),20 (10 – 32),143865
Frontal SctO2 cohort,rSO2_Ch3,FiO2_new,20068989,64.7 (14.6),61.0 (57.0 – 70.0),2314882,11.53,2248291,11.2,66591,0.33,0 (0 – 0),0 (0 – 1),49 (1 – 136),326502
Frontal SctO2 cohort,rSO2_Ch3,MAP,20068989,76.1 (14.8),75.0 (66.0 – 85.0),2545439,12.68,2505309,12.48,40130,0.2,0 (0 – 0),18 (11 – 30),18 (11 – 30),7264
Frontal SctO2 cohort,rSO2_Ch3,SV,20068989,74.6 (22.4),72.1 (58.5 – 87.7),2565666,12.78,2524693,12.58,40973,0.2,0 (0 – 0),18 (11 – 30),18 (11 – 30),27491
Frontal SctO2 cohort,rSO2_Ch3,HR,20068989,63.4 (11.4),61.9 (55.6 – 69.8),2586879,12.89,2547945,12.7,38934,0.19,0 (0 – 0),18 (11 – 30),18 (11 – 30),48704
Frontal SctO2 cohort,rSO2_Ch3,CI,20068989,2.6 (0.8),2.5 (2.0 – 3.1),2551842,12.72,2512281,12.52,39561,0.2,0 (0 – 0),18 (11 – 30),18 (11 – 30),13667
