ycol,cohort,model,model_tag,n_splines_main_used_json,lam_used_json,metric,value
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,N Samples,100000.0
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,N Features,17.0
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,Effective DOF (model),51.14062058631918
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,Deviance Explained,0.2324707887851427
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,McFadden R2,0.9987345316000903
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,AIC,853805.7171619039
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,AICc,853805.7726070664
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,GCV,28.011993385672817
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,UBRE,
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,Log Likelihood,-426850.7179603656
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,Scale,27.986208645396257
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,N Training Rows,100000.0
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,RMSE (training sample),5.288846407735473
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,R2 Traditional (training sample),0.23247078878514305
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,N Eval Rows (full analytic pool),20022179.0
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,RMSE (full analytic pool),5.300093793521419
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,R2 Traditional (full analytic pool),0.23122890469476665
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,N Samples,100000.0
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,N Features,17.0
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,Effective DOF (model),51.21038232335727
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,Deviance Explained,0.2190786624597032
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,McFadden R2,0.9987005793836978
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,AIC,837375.8351355073
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,AICc,837375.8907277762
