ycol,cohort,model,model_tag,variable,term_type,n_basis_functions,effect_degrees_of_freedom,chi2_statistic,f_statistic,p_value,p_value_display
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,ET_CO2,Smooth Spline,10,8.420086280008967,22815.156389801075,2709.6107606366213,1.1102230246251565e-16,<0.001
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,TEMP,Smooth Spline,10,7.263647149953276,11290.51682130546,1554.3867410159216,1.1102230246251565e-16,<0.001
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,FiO2_new,Smooth Spline,10,7.517126450437657,11777.923350767787,1566.811923202657,1.1102230246251565e-16,<0.001
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,MAP,Smooth Spline,10,6.650228054146341,12534.08553037454,1884.7602560877112,1.1102230246251565e-16,<0.001
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,CI,Smooth Spline,10,6.3013484896111525,18179.53596700189,2885.0231021144054,1.1102230246251565e-16,<0.001
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,Age,Linear,1,0.9996743420430778,30.36299227163701,30.37288344280483,3.5917990248712783e-08,<0.001
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,BMI,Linear,1,0.9990816576456555,292.03002630284146,292.29845635542216,1.1102230246251565e-16,<0.001
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,Cardiac_index,Linear,1,0.9995276018940172,183.37126054862543,183.45792572526557,1.1102230246251565e-16,<0.001
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,Mean_blood_pressure,Linear,1,0.999255942121186,315.42100536021616,315.6558715984729,1.1102230246251565e-16,<0.001
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,Hb,Linear,1,0.9996667652778536,415.742307922014,415.8808938761308,1.1102230246251565e-16,<0.001
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,ET_CO2,Smooth Spline,10,8.431334224396773,25761.535671445752,3055.451840220328,1.1102230246251565e-16,<0.001
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,TEMP,Smooth Spline,10,7.262314782284203,15200.453618761865,2093.059041704179,1.1102230246251565e-16,<0.001
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,FiO2_new,Smooth Spline,10,7.506262311900977,14652.4565590401,1952.0309776290424,1.1102230246251565e-16,<0.001
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,MAP,Smooth Spline,10,6.646577474492214,16938.153306593867,2548.4022975129633,1.1102230246251565e-16,<0.001
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,CI,Smooth Spline,10,6.376220287721533,20772.46170148881,3257.801764077948,1.1102230246251565e-16,<0.001
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,Age,Linear,1,0.9993794989335558,79.2517659343604,79.30097227222538,1.1102230246251565e-16,<0.001
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,BMI,Linear,1,0.9994515582404724,282.9043408501876,283.05958254569015,1.1102230246251565e-16,<0.001
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,Cardiac_index,Linear,1,0.9991862346842273,37.835278399622084,37.86609251235247,7.726759232440372e-10,<0.001
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,Mean_blood_pressure,Linear,1,0.9995194439678582,124.36908960772769,124.42888465882316,1.1102230246251565e-16,<0.001
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,Hb,Linear,1,0.999713959888703,275.73706583450434,275.8159602624753,1.1102230246251565e-16,<0.001
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,ET_CO2,Smooth Spline,10,8.452875009444798,10240.824849104447,1211.5197299926815,1.1102230246251565e-16,<0.001
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,TEMP,Smooth Spline,10,7.277133520607229,8460.760823687799,1162.6502110657718,1.1102230246251565e-16,<0.001
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,FiO2_new,Smooth Spline,10,7.516096825504061,7958.7415769119225,1058.8929016861323,1.1102230246251565e-16,<0.001
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,MAP,Smooth Spline,10,6.644495484206674,8972.710894339496,1350.3976209580946,1.1102230246251565e-16,<0.001
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,CI,Smooth Spline,10,6.337289859186837,12437.92109143206,1962.6561776090225,1.1102230246251565e-16,<0.001
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,Age,Linear,1,0.9993987670769147,1.190713494812668,1.1914298216469879,0.27518831368162766,0.2752
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,BMI,Linear,1,0.999275258140834,1249.5822946273254,1250.4885760427926,1.1102230246251565e-16,<0.001
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,Cardiac_index,Linear,1,0.9992512345950652,269.1801741342542,269.3818779651909,1.1102230246251565e-16,<0.001
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,Mean_blood_pressure,Linear,1,0.999380570476208,32.82510193309347,32.845447372918414,1.011227845904017e-08,<0.001
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,Hb,Linear,1,0.9995855873665866,758.4347344853927,758.7491697269195,1.1102230246251565e-16,<0.001
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,SstO2,Linear,1,0.9989014092885866,3874.1629068377574,3878.4237070973,1.1102230246251565e-16,<0.001
