ycol,cohort,model,model_tag,variable,term_type,effect_degrees_of_freedom,estimate_beta,std_error,p_value,p_value_display
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,SEX,Factor,0.9994790124288832,0.5505113781862434,0.047274672155674526,1.1102230246251565e-16,<0.001
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,Smoking_new,Factor,1.9981853972606878,0.4326980648415599,0.043380522709079286,1.1102230246251565e-16,<0.001
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,Drinking_status,Factor,0.9989060626946065,-0.0353920141882611,0.04244950808582141,0.6982456563867601,0.6982
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,Diabetes_status,Factor,0.9995502911124684,0.32806198426304434,0.03504349108524935,1.1102230246251565e-16,<0.001
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,Hypertension,Factor,0.999373417256722,0.04886419088310845,0.03918583286792128,0.4534901473733981,0.4535
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,Carotid_artery_disease,Factor,2.9966339139718414,-0.14017691231549634,0.0723879236572841,0.021081572277827032,0.0211
rSO2_Ch1,Left SctO2 cohort,Left SctO2 model,total_etco2_temp_fio2_map_ci,Statin_1,Factor,0.9988497584547835,-1.0106701802415188,0.11400172620273336,1.1102230246251565e-16,<0.001
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,SEX,Factor,0.9994757246003982,-0.0833924606263281,0.045293934775125916,0.191389898632782,0.1914
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,Smoking_new,Factor,1.9975801435232496,0.40516937767236527,0.04160751967330964,1.1102230246251565e-16,<0.001
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,Drinking_status,Factor,0.9991207827463158,-0.016117416010899888,0.04075229439788022,0.9224771556201441,0.9225
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,Diabetes_status,Factor,0.9997543209598474,0.089684627962626,0.03360309805719908,0.027420895153431935,0.0274
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,Hypertension,Factor,0.99900057352728,0.22374793128706472,0.037555344627917236,1.1767978369547905e-08,<0.001
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,Carotid_artery_disease,Factor,2.996548036669566,0.09453921104557139,0.06764065495740981,8.595831564317535e-07,<0.001
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,Statin_1,Factor,0.9989429648200975,-0.35753330712120146,0.10815141554630048,0.002337441148641317,0.0023
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,SEX,Factor,0.9996704255291414,0.7657463934408355,0.04881334337665323,1.1102230246251565e-16,<0.001
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,Smoking_new,Factor,1.9980106244882005,-0.02836169140512368,0.044672476616657235,0.9339262145637316,0.9339
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,Drinking_status,Factor,0.9993408654428527,-0.571893116116982,0.043669498614314975,1.1102230246251565e-16,<0.001
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,Diabetes_status,Factor,0.9995557707433769,-0.4777524444080683,0.03594719808093605,1.1102230246251565e-16,<0.001
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,Hypertension,Factor,0.9992369158810814,-0.1997486494055778,0.04028783646797119,2.6429128823224346e-06,<0.001
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,Carotid_artery_disease,Factor,2.9966953533749447,0.740982201905382,0.07214747696807644,1.1102230246251565e-16,<0.001
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,Statin_1,Factor,0.9989056466688653,0.9092792088309523,0.11650552923738844,5.995204332975845e-15,<0.001
